Quarter,Job_Vacancies
2006-02-15,144.3
2006-05-15,154.1
2006-08-15,154.9
2006-11-15,162.1
2007-02-15,160.8
2007-05-15,168.6
2007-08-15,173.3
2007-11-15,183.3
2008-02-15,178.2
2008-05-15,184.5
2008-08-15,NA
2008-11-15,NA
2009-02-15,NA
2009-05-15,NA
2009-08-15,NA
2009-11-15,148.9
2010-02-15,168.4
2010-05-15,170.3
2010-08-15,178.6
2010-11-15,191.1
2011-02-15,189.4
2011-05-15,187.3
2011-08-15,183.4
2011-11-15,179.3
2012-02-15,181.8
2012-05-15,178.1
2012-08-15,175.3
2012-11-15,164.8
2013-02-15,149.8
2013-05-15,143.5
2013-08-15,140.6
2013-11-15,138.9
2014-02-15,143.2
2014-05-15,147.4
2014-08-15,146.6
2014-11-15,149.7
2015-02-15,151.9
2015-05-15,157.8
2015-08-15,161.5
2015-11-15,167.4
2016-02-15,172.2
2016-05-15,171.3
2016-08-15,177.1
2016-11-15,182.4
2017-02-15,185.1
2017-05-15,185.8
2017-08-15,200.1
2017-11-15,205.1
2018-02-15,213.1
2018-05-15,223.5
2018-08-15,227.1
2018-11-15,232.4
2019-02-15,232.5
2019-05-15,227.2
2019-08-15,221.8
2019-11-15,230.6
2020-02-15,227.4
2020-05-15,128.4
2020-08-15,203.3
2020-11-15,260.1
2021-02-15,287.8
2021-05-15,366.7
2021-08-15,329.2
2021-11-15,406.5
2022-02-15,422.8
2022-05-15,473.1
2022-08-15,466.7
2022-11-15,451.3
2023-02-15,439.1
2023-05-15,422.3
2023-08-15,399.8
2023-11-15,385.1
2024-02-15,359.7
2024-05-15,346.3
2024-08-15,332.7
2024-11-15,346.3
2025-02-15,325
2025-05-15,336.7
2025-08-15,327.9
2025-11-15,328.7
2026-02-15,336.6
2026-05-15,329.5
