Quarter,Job_Vacancies,unemployed,Tightness,unemployment_rate,underemployment_rate,underutilisation_rate
2006-02-15,144.3,537.4191015,0.2685055287339838,5.1035413,6.6460297,11.749571
2006-05-15,154.1,507.4982553,0.30364636408238704,4.7983153,6.525646,11.3239613
2006-08-15,154.9,503.3876982,0.30771510816392056,4.7121815,6.6067526,11.3189341
2006-11-15,162.1,483.7180364,0.3351125817147636,4.5151131,6.2524851,10.7675982
2007-02-15,160.8,500.9392741,0.3209969916790759,4.6344561,6.4320806,11.0665367
2007-05-15,168.6,463.3446129,0.36387603374680344,4.2645998,6.2730354,10.5376352
2007-08-15,173.3,470.9735601,0.3679612077654718,4.2989954,6.2488783,10.5478737
2007-11-15,183.3,489.1921392,0.3746993978680024,4.426834,6.0526951,10.4795291
2008-02-15,178.2,441.2960487,0.40381054968643776,3.9790282,5.9077888,9.886817
2008-05-15,184.5,475.9719684,0.3876278693894613,4.2665194,5.945157,10.2116764
2008-08-15,NA,451.5259339,NA,4.0153748,5.7217663,9.7371411
2008-11-15,NA,503.6169031,NA,4.4629287,6.3059401,10.7688687
2009-02-15,NA,605.0203221,NA,5.3025728,7.2518476,12.5544204
2009-05-15,NA,664.7659942,NA,5.8122361,7.6518288,13.4640649
2009-08-15,NA,653.9628278,NA,5.714836,7.5606625,13.2754984
2009-11-15,148.9,638.6487451,0.233148504780488,5.5586526,7.6025222,13.1611748
2010-02-15,168.4,610.974522,0.2756252412109584,5.2982033,7.4667038,12.764907
2010-05-15,170.3,603.6395839,0.2821219889188251,5.2297625,6.9919274,12.2216899
2010-08-15,178.6,586.0892682,0.30473173574482454,5.0321839,7.1910802,12.2232641
2010-11-15,191.1,601.0517475,0.3179426743119152,5.1092064,6.9152457,12.0244521
2011-02-15,189.4,584.738966,0.32390521414302326,4.9718703,6.8657789,11.8376492
2011-05-15,187.3,589.6820094,0.31762881860780745,5.0133181,7.0708003,12.0841184
2011-08-15,183.4,624.107726,0.29385952514229896,5.2700482,6.7543122,12.0243604
2011-11-15,179.3,621.1498679,0.2886581954950457,5.2312284,7.067626,12.2988545
2012-02-15,181.8,617.2476141,0.29453333775146306,5.1917172,7.2502285,12.4419457
2012-05-15,178.1,623.3963879,0.2856930252675274,5.2004639,7.3543496,12.5548134
2012-08-15,175.3,617.7187655,0.28378610103921154,5.1570308,6.9140703,12.0711011
2012-11-15,164.8,631.7108629,0.26087884454519483,5.256884,7.0423717,12.2992557
2013-02-15,149.8,653.9292553,0.2290767675339391,5.3943354,7.0459817,12.4403171
2013-05-15,143.5,680.9366386,0.21073913763112348,5.6097768,7.460552,13.0703288
2013-08-15,140.6,711.199369,0.1976942136460191,5.8436797,7.5859943,13.429674
2013-11-15,138.9,704.4834072,0.19716575093239472,5.7963953,7.4686334,13.2650287
2014-02-15,143.2,716.6506752,0.19981841217136412,5.8764362,7.50141,13.3778461
2014-05-15,147.4,725.7310168,0.20310555369389857,5.9300032,7.7656841,13.6956873
2014-08-15,146.6,750.3199282,0.19538332182071985,6.1004595,8.3910955,14.491555
2014-11-15,149.7,775.643173,0.1930011185697627,6.2968366,8.6458368,14.9426735
2015-02-15,151.9,765.4346024,0.1984493508964993,6.153363,8.5261943,14.6795573
2015-05-15,157.8,739.780418,0.2133065382111804,5.9311165,8.38765,14.3187665
2015-08-15,161.5,762.5893193,0.21177847094455104,6.0873908,8.4211644,14.5085552
2015-11-15,167.4,739.0840099,0.2264965792219611,5.8503965000000004,8.5757925,14.426189
2016-02-15,172.2,720.1520634,0.2391161655317698,5.6944376,8.3741817,14.0686193
2016-05-15,171.3,724.7051985,0.2363719762940268,5.7217096,8.3382655,14.0599751
2016-08-15,177.1,711.2692546,0.248991501958842,5.6149592,8.7746816,14.3896408
2016-11-15,182.4,733.6660547,0.2486144736171341,5.767118,8.4831731,14.2502911
2017-02-15,185.1,752.4392372,0.2459999304246809,5.8932819,8.9852327,14.8785146
2017-05-15,185.8,714.389182,0.26008232582670887,5.547534,8.7339425,14.2814765
2017-08-15,200.1,718.9233614,0.2783328665385612,5.5297218,8.5784841,14.1082059
2017-11-15,205.1,713.5357832,0.2874417861430667,5.4541362,8.5177186,13.9718549
2018-02-15,213.1,734.3318949,0.2901957568233089,5.5816517,8.4847191,14.0663708
2018-05-15,223.5,715.7548996,0.3122577297408695,5.4366145,8.5273163,13.9639309
2018-08-15,227.1,696.4967109,0.32606040552086113,5.243611,8.1489993,13.3926103
2018-11-15,232.4,680.8067817,0.3413597018227235,5.1088827,8.5166291,13.6255118
2019-02-15,232.5,668.723721,0.3476772136216774,4.9928323,7.9757904,12.9686227
2019-05-15,227.2,701.0482839,0.3240860939507108,5.1974091,8.7170283,13.9144373
2019-08-15,221.8,714.9504288,0.3102312986541984,5.2574442,8.4635433,13.7209874
2019-11-15,230.6,702.28350150000006,0.32835742190648626,5.1724506,8.3160757,13.4885263
2020-02-15,227.4,696.7657758,0.3263650539363934,5.1131966,8.5557672,13.6689639
2020-05-15,128.4,905.7492634,0.1417610868575397,6.9919538,13.2885048,20.2804586
2020-08-15,203.3,914.9496298,0.2221980242173983,6.7928513,11.080749,17.8736003
2020-11-15,260.1,931.3905817,0.27925985629493727,6.811051,9.3199091,16.1309601
2021-02-15,287.8,800.7241553,0.3594246509176092,5.8478151,8.3825609,14.230376
2021-05-15,366.7,702.3935552,0.5220719883962853,5.1138169,7.7129497,12.8267666
2021-08-15,329.2,620.8088814,0.5302759188264409,4.5727138,9.1460967,13.7188106
2021-11-15,406.5,638.6901108,0.6364588916068121,4.6336312,7.5224201,12.1560513
2022-02-15,422.8,561.4706822,0.7530223988603478,4.0320085,6.6348717,10.6668802
2022-05-15,473.1,553.2169044,0.8551799416055589,3.9421647,5.9822675,9.9244323
2022-08-15,466.7,499.686564,0.9339854893516808,3.5263235,5.9885483,9.5148718
2022-11-15,451.3,502.3423686,0.8983912729832998,3.5165842,5.9067407,9.4233249
2023-02-15,439.1,518.2826395,0.847221123253541,3.6110496,5.93768,9.5487296
2023-05-15,422.3,521.4945838,0.8097878925660282,3.590103,6.439176,10.029279
2023-08-15,399.8,538.7903595,0.7420325789997733,3.6786112,6.6064813,10.2850924
2023-11-15,385.1,581.3258214,0.6624512206813183,3.9323142,6.595437,10.5277512
2024-02-15,359.7,553.6354356,0.6497055225704197,3.7413408,6.6474091,10.38875
2024-05-15,346.3,595.7538942,0.581280296060883,4.0051119,6.6825271,10.687639
2024-08-15,332.7,620.4231028,0.5362469555026377,4.1253233,6.5125089,10.6378322
2024-11-15,346.3,592.7508335,0.5842252434386497,3.9364603,6.0328308,9.969291
2025-02-15,325,614.1193929,0.5292130549163774,4.0741254,5.9519472,10.026072599999999
2025-05-15,336.7,623.1556402,0.5403144548157136,4.1013581,5.8277901,9.9291482
2025-08-15,327.9,647.6805778,0.5062680760225816,4.2447033,5.7076093,9.9523126
2025-11-15,328.7,659.8030084,0.4981789955718547,4.3223122,6.1835449,10.5058571
2026-02-15,336.6,661.7156579,0.5086777016403439,4.3050169,5.9078279,10.2128448
2026-05-15,329.5,674.1079888,0.488794088594845,4.3796061,6.3101573,10.6897635
