Level,Title,State,Skill_level,Month,Vacancies
0,AUSTRALIAN TOTAL,AUST,0,2006-01-01,212117.982
0,AUSTRALIAN TOTAL,AUST,0,2006-02-01,216312.857
0,AUSTRALIAN TOTAL,AUST,0,2006-03-01,220565.24
0,AUSTRALIAN TOTAL,AUST,0,2006-04-01,221462.238
0,AUSTRALIAN TOTAL,AUST,0,2006-05-01,219135.215
0,AUSTRALIAN TOTAL,AUST,0,2006-06-01,237134.549
0,AUSTRALIAN TOTAL,AUST,0,2006-07-01,219609.293
0,AUSTRALIAN TOTAL,AUST,0,2006-08-01,226241.098
0,AUSTRALIAN TOTAL,AUST,0,2006-09-01,220037.924
0,AUSTRALIAN TOTAL,AUST,0,2006-10-01,239284.753
0,AUSTRALIAN TOTAL,AUST,0,2006-11-01,237952.007
0,AUSTRALIAN TOTAL,AUST,0,2006-12-01,233807.566
0,AUSTRALIAN TOTAL,AUST,0,2007-01-01,249215.758
0,AUSTRALIAN TOTAL,AUST,0,2007-02-01,256532.349
0,AUSTRALIAN TOTAL,AUST,0,2007-03-01,266706.349
0,AUSTRALIAN TOTAL,AUST,0,2007-04-01,266058.929
0,AUSTRALIAN TOTAL,AUST,0,2007-05-01,272285.028
0,AUSTRALIAN TOTAL,AUST,0,2007-06-01,268777.409
0,AUSTRALIAN TOTAL,AUST,0,2007-07-01,281697.766
0,AUSTRALIAN TOTAL,AUST,0,2007-08-01,280703.419
0,AUSTRALIAN TOTAL,AUST,0,2007-09-01,286087.364
0,AUSTRALIAN TOTAL,AUST,0,2007-10-01,284159.581
0,AUSTRALIAN TOTAL,AUST,0,2007-11-01,293949.857
0,AUSTRALIAN TOTAL,AUST,0,2007-12-01,301309.825
0,AUSTRALIAN TOTAL,AUST,0,2008-01-01,305362.261
0,AUSTRALIAN TOTAL,AUST,0,2008-02-01,305834.831
0,AUSTRALIAN TOTAL,AUST,0,2008-03-01,301165.269
0,AUSTRALIAN TOTAL,AUST,0,2008-04-01,306852.066
0,AUSTRALIAN TOTAL,AUST,0,2008-05-01,300561.215
0,AUSTRALIAN TOTAL,AUST,0,2008-06-01,301413.743
0,AUSTRALIAN TOTAL,AUST,0,2008-07-01,287150.796
0,AUSTRALIAN TOTAL,AUST,0,2008-08-01,273509.265
0,AUSTRALIAN TOTAL,AUST,0,2008-09-01,260672.779
0,AUSTRALIAN TOTAL,AUST,0,2008-10-01,250977.262
0,AUSTRALIAN TOTAL,AUST,0,2008-11-01,234479.488
0,AUSTRALIAN TOTAL,AUST,0,2008-12-01,216817.834
0,AUSTRALIAN TOTAL,AUST,0,2009-01-01,196168.436
0,AUSTRALIAN TOTAL,AUST,0,2009-02-01,181987.915
0,AUSTRALIAN TOTAL,AUST,0,2009-03-01,161029.666
0,AUSTRALIAN TOTAL,AUST,0,2009-04-01,164016.404
0,AUSTRALIAN TOTAL,AUST,0,2009-05-01,157482.831
0,AUSTRALIAN TOTAL,AUST,0,2009-06-01,171756.002
0,AUSTRALIAN TOTAL,AUST,0,2009-07-01,157957.005
0,AUSTRALIAN TOTAL,AUST,0,2009-08-01,165387.389
0,AUSTRALIAN TOTAL,AUST,0,2009-09-01,165914.226
0,AUSTRALIAN TOTAL,AUST,0,2009-10-01,166397.126
0,AUSTRALIAN TOTAL,AUST,0,2009-11-01,169994.516
0,AUSTRALIAN TOTAL,AUST,0,2009-12-01,170803.359
0,AUSTRALIAN TOTAL,AUST,0,2010-01-01,183642.052
0,AUSTRALIAN TOTAL,AUST,0,2010-02-01,188577.124
0,AUSTRALIAN TOTAL,AUST,0,2010-03-01,176635.782
0,AUSTRALIAN TOTAL,AUST,0,2010-04-01,170735.117
0,AUSTRALIAN TOTAL,AUST,0,2010-05-01,187116.185
0,AUSTRALIAN TOTAL,AUST,0,2010-06-01,184527.797
0,AUSTRALIAN TOTAL,AUST,0,2010-07-01,190622.365
0,AUSTRALIAN TOTAL,AUST,0,2010-08-01,192305.545
0,AUSTRALIAN TOTAL,AUST,0,2010-09-01,200217.71
0,AUSTRALIAN TOTAL,AUST,0,2010-10-01,205129.038
0,AUSTRALIAN TOTAL,AUST,0,2010-11-01,206012.944
0,AUSTRALIAN TOTAL,AUST,0,2010-12-01,210357.792
0,AUSTRALIAN TOTAL,AUST,0,2011-01-01,213088.355
0,AUSTRALIAN TOTAL,AUST,0,2011-02-01,213309.52
0,AUSTRALIAN TOTAL,AUST,0,2011-03-01,215403.361
0,AUSTRALIAN TOTAL,AUST,0,2011-04-01,213478.239
0,AUSTRALIAN TOTAL,AUST,0,2011-05-01,209564.239
0,AUSTRALIAN TOTAL,AUST,0,2011-06-01,202316.58
0,AUSTRALIAN TOTAL,AUST,0,2011-07-01,208130.353
0,AUSTRALIAN TOTAL,AUST,0,2011-08-01,202587.115
0,AUSTRALIAN TOTAL,AUST,0,2011-09-01,196021.313
0,AUSTRALIAN TOTAL,AUST,0,2011-10-01,196534.005
0,AUSTRALIAN TOTAL,AUST,0,2011-11-01,196329.492
0,AUSTRALIAN TOTAL,AUST,0,2011-12-01,198211.11
0,AUSTRALIAN TOTAL,AUST,0,2012-01-01,190328.796
0,AUSTRALIAN TOTAL,AUST,0,2012-02-01,193640.523
0,AUSTRALIAN TOTAL,AUST,0,2012-03-01,192618.286
0,AUSTRALIAN TOTAL,AUST,0,2012-04-01,187350.183
0,AUSTRALIAN TOTAL,AUST,0,2012-05-01,181347.525
0,AUSTRALIAN TOTAL,AUST,0,2012-06-01,177479.861
0,AUSTRALIAN TOTAL,AUST,0,2012-07-01,169102.419
0,AUSTRALIAN TOTAL,AUST,0,2012-08-01,168389.827
0,AUSTRALIAN TOTAL,AUST,0,2012-09-01,168486.042
0,AUSTRALIAN TOTAL,AUST,0,2012-10-01,159489.877
0,AUSTRALIAN TOTAL,AUST,0,2012-11-01,154710.397
0,AUSTRALIAN TOTAL,AUST,0,2012-12-01,151376.697
0,AUSTRALIAN TOTAL,AUST,0,2013-01-01,148653.547
0,AUSTRALIAN TOTAL,AUST,0,2013-02-01,144952.162
0,AUSTRALIAN TOTAL,AUST,0,2013-03-01,150523.766
0,AUSTRALIAN TOTAL,AUST,0,2013-04-01,139593.559
0,AUSTRALIAN TOTAL,AUST,0,2013-05-01,142313.076
0,AUSTRALIAN TOTAL,AUST,0,2013-06-01,139881.216
0,AUSTRALIAN TOTAL,AUST,0,2013-07-01,142032.67
0,AUSTRALIAN TOTAL,AUST,0,2013-08-01,140103.209
0,AUSTRALIAN TOTAL,AUST,0,2013-09-01,139215.182
0,AUSTRALIAN TOTAL,AUST,0,2013-10-01,139848.232
0,AUSTRALIAN TOTAL,AUST,0,2013-11-01,141044.38
0,AUSTRALIAN TOTAL,AUST,0,2013-12-01,138788.138
0,AUSTRALIAN TOTAL,AUST,0,2014-01-01,149227.822
0,AUSTRALIAN TOTAL,AUST,0,2014-02-01,147231.489
0,AUSTRALIAN TOTAL,AUST,0,2014-03-01,145261.714
0,AUSTRALIAN TOTAL,AUST,0,2014-04-01,143174.922
0,AUSTRALIAN TOTAL,AUST,0,2014-05-01,151688.005
0,AUSTRALIAN TOTAL,AUST,0,2014-06-01,155848.836
0,AUSTRALIAN TOTAL,AUST,0,2014-07-01,151512.923
0,AUSTRALIAN TOTAL,AUST,0,2014-08-01,156858.858
0,AUSTRALIAN TOTAL,AUST,0,2014-09-01,154438.877
0,AUSTRALIAN TOTAL,AUST,0,2014-10-01,156769.446
0,AUSTRALIAN TOTAL,AUST,0,2014-11-01,152027.216
0,AUSTRALIAN TOTAL,AUST,0,2014-12-01,149484.049
0,AUSTRALIAN TOTAL,AUST,0,2015-01-01,156397.411
0,AUSTRALIAN TOTAL,AUST,0,2015-02-01,154584.577
0,AUSTRALIAN TOTAL,AUST,0,2015-03-01,158241.854
0,AUSTRALIAN TOTAL,AUST,0,2015-04-01,157732.253
0,AUSTRALIAN TOTAL,AUST,0,2015-05-01,151187.702
0,AUSTRALIAN TOTAL,AUST,0,2015-06-01,152018.473
0,AUSTRALIAN TOTAL,AUST,0,2015-07-01,156722.624
0,AUSTRALIAN TOTAL,AUST,0,2015-08-01,154817.192
0,AUSTRALIAN TOTAL,AUST,0,2015-09-01,163162.205
0,AUSTRALIAN TOTAL,AUST,0,2015-10-01,159715.613
0,AUSTRALIAN TOTAL,AUST,0,2015-11-01,165147.792
0,AUSTRALIAN TOTAL,AUST,0,2015-12-01,164100.775
0,AUSTRALIAN TOTAL,AUST,0,2016-01-01,163006.092
0,AUSTRALIAN TOTAL,AUST,0,2016-02-01,161433.663
0,AUSTRALIAN TOTAL,AUST,0,2016-03-01,162234.362
0,AUSTRALIAN TOTAL,AUST,0,2016-04-01,165283.844
0,AUSTRALIAN TOTAL,AUST,0,2016-05-01,166367.299
0,AUSTRALIAN TOTAL,AUST,0,2016-06-01,172930.686
0,AUSTRALIAN TOTAL,AUST,0,2016-07-01,164538.409
0,AUSTRALIAN TOTAL,AUST,0,2016-08-01,165648.91
0,AUSTRALIAN TOTAL,AUST,0,2016-09-01,162760.425
0,AUSTRALIAN TOTAL,AUST,0,2016-10-01,163519.305
0,AUSTRALIAN TOTAL,AUST,0,2016-11-01,162034.782
0,AUSTRALIAN TOTAL,AUST,0,2016-12-01,163257.272
0,AUSTRALIAN TOTAL,AUST,0,2017-01-01,162401.122
0,AUSTRALIAN TOTAL,AUST,0,2017-02-01,165827.885
0,AUSTRALIAN TOTAL,AUST,0,2017-03-01,165208.276
0,AUSTRALIAN TOTAL,AUST,0,2017-04-01,170150.327
0,AUSTRALIAN TOTAL,AUST,0,2017-05-01,173687.492
0,AUSTRALIAN TOTAL,AUST,0,2017-06-01,176943.971
0,AUSTRALIAN TOTAL,AUST,0,2017-07-01,176543.212
0,AUSTRALIAN TOTAL,AUST,0,2017-08-01,175427.879
0,AUSTRALIAN TOTAL,AUST,0,2017-09-01,175618.051
0,AUSTRALIAN TOTAL,AUST,0,2017-10-01,177394.027
0,AUSTRALIAN TOTAL,AUST,0,2017-11-01,178049
0,AUSTRALIAN TOTAL,AUST,0,2017-12-01,174475.921
0,AUSTRALIAN TOTAL,AUST,0,2018-01-01,178308.161
0,AUSTRALIAN TOTAL,AUST,0,2018-02-01,181246.248
0,AUSTRALIAN TOTAL,AUST,0,2018-03-01,189514.558
0,AUSTRALIAN TOTAL,AUST,0,2018-04-01,187264.703
0,AUSTRALIAN TOTAL,AUST,0,2018-05-01,186873.38
0,AUSTRALIAN TOTAL,AUST,0,2018-06-01,183021.159
