data_reference_period,data_release_date,data_vintage,data_download_date,date,employed,unemployment_rate,participation_rate,youth_unemployment_rate,underemployment_rate,youth_underemployment_rate,underutilisation_rate,youth_underutilisation_rate,youth_unemployment_gap,youth_underemployment_gap,youth_underutilisation_gap,cal_underutilisation_rate,underutilisation_diff
July 2026,2026-08-20,2026-08-20,2026-08-27,1978-02-01,5997.4192066,6.6447269,61.2460106,13.6596732,2.5513211,3.0993088,9.196048,16.7589821,7.0149463,0.5479877000000002,7.562934100000001,9.196048000000001,-1.7763568394002505e-15
July 2026,2026-08-20,2026-08-20,2026-08-27,1978-03-01,6002.8727369,6.3029813,60.965875,12.7487724,2.4310101,3.1164553,8.7339914,15.8652277,6.4457911,0.6854452000000002,7.131236299999999,8.7339914,0
July 2026,2026-08-20,2026-08-20,2026-08-27,1978-04-01,6030.6723494,6.2674676,61.166652,12.4073315,2.589217,3.0520898,8.8566847,15.4594214,6.1398639,0.4628728,6.6027366999999995,8.8566846,1.0000000116860974e-7
July 2026,2026-08-20,2026-08-20,2026-08-27,1978-05-01,6033.0800599,6.2093954,61.0834729,12.2339286,2.6182057,3.1861182,8.8276012,15.420046899999999,6.0245332000000005,0.5679125000000003,6.592445699999999,8.827601099999999,1.0000000116860974e-7
July 2026,2026-08-20,2026-08-20,2026-08-27,1978-06-01,6033.8122639,6.3041057,61.078958,12.2820001,2.6642759,3.4318504,8.9683815,15.7138505,5.977894399999999,0.7675745000000003,6.745469,8.9683816,-1.0000000116860974e-7
July 2026,2026-08-20,2026-08-20,2026-08-27,1978-07-01,6030.4524421,6.2215349,60.9219755,12.4355484,2.7381358,3.5973107,8.9596707,16.0328591,6.2140135,0.8591749000000002,7.073188399999999,8.9596707,0
July 2026,2026-08-20,2026-08-20,2026-08-27,1978-08-01,6036.2727416,6.4900232,61.0684326,13.2308308,2.7226817,3.4363728,9.212705,16.6672036,6.740807599999999,0.7136911000000001,7.454498600000001,9.2127049,9.99999993922529e-8
July 2026,2026-08-20,2026-08-20,2026-08-27,1978-09-01,6030.8085534,6.2552759,60.7658992,12.5097658,2.6555401,3.0443634,8.9108159,15.5541292,6.2544899,0.38882329999999987,6.643313300000001,8.910816,-1.0000000116860974e-7
July 2026,2026-08-20,2026-08-20,2026-08-27,1978-10-01,6035.791786,6.1631844,60.6911194,12.5133819,2.6109478,3.2071851,8.7741323,15.720567,6.350197500000001,0.5962372999999999,6.946434700000001,8.7741322,9.99999993922529e-8
July 2026,2026-08-20,2026-08-20,2026-08-27,1978-11-01,6028.1104706,6.3312139,60.6388682,12.8676703,2.5212253,3.1950785,8.8524392,16.0627488,6.5364564000000005,0.6738532000000004,7.210309600000002,8.8524392,0
July 2026,2026-08-20,2026-08-20,2026-08-27,1978-12-01,6053.0774072,6.405487,60.8459735,13.3603831,2.4913079,3.3302916,8.8967948,16.6906747,6.9548961,0.8389837,7.7938798999999985,8.8967949,-9.99999993922529e-8
