Quarter,Job_Vacancies,unemployed,Tightness
2006-02-15,144.3,537.4191015,0.2685055287339838
2006-05-15,154.1,507.4982553,0.30364636408238704
2006-08-15,154.9,503.3876982,0.30771510816392056
2006-11-15,162.1,483.7180364,0.3351125817147636
2007-02-15,160.8,500.9392741,0.3209969916790759
2007-05-15,168.6,463.3446129,0.36387603374680344
2007-08-15,173.3,470.9735601,0.3679612077654718
2007-11-15,183.3,489.1921392,0.3746993978680024
2008-02-15,178.2,441.2960487,0.40381054968643776
2008-05-15,184.5,475.9719684,0.3876278693894613
2008-08-15,NA,451.5259339,NA
2008-11-15,NA,503.6169031,NA
2009-02-15,NA,605.0203221,NA
2009-05-15,NA,664.7659942,NA
2009-08-15,NA,653.9628278,NA
2009-11-15,148.9,638.6487451,0.233148504780488
2010-02-15,168.4,610.974522,0.2756252412109584
2010-05-15,170.3,603.6395839,0.2821219889188251
2010-08-15,178.6,586.0892682,0.30473173574482454
2010-11-15,191.1,601.0517475,0.3179426743119152
2011-02-15,189.4,584.738966,0.32390521414302326
2011-05-15,187.3,589.6820094,0.31762881860780745
2011-08-15,183.4,624.107726,0.29385952514229896
2011-11-15,179.3,621.1498679,0.2886581954950457
2012-02-15,181.8,617.2476141,0.29453333775146306
2012-05-15,178.1,623.3963879,0.2856930252675274
2012-08-15,175.3,617.7187655,0.28378610103921154
2012-11-15,164.8,631.7108629,0.26087884454519483
2013-02-15,149.8,653.9292553,0.2290767675339391
2013-05-15,143.5,680.9366386,0.21073913763112348
2013-08-15,140.6,711.199369,0.1976942136460191
2013-11-15,138.9,704.4834072,0.19716575093239472
2014-02-15,143.2,716.6506752,0.19981841217136412
2014-05-15,147.4,725.7310168,0.20310555369389857
2014-08-15,146.6,750.3199282,0.19538332182071982
2014-11-15,149.7,775.643173,0.1930011185697627
2015-02-15,151.9,765.4346024,0.19844935089649926
2015-05-15,157.8,739.780418,0.2133065382111804
2015-08-15,161.5,762.5893193,0.21177847094455102
2015-11-15,167.4,739.0840099,0.2264965792219611
2016-02-15,172.2,720.1520634,0.23911616553176981
2016-05-15,171.3,724.7051985,0.23637197629402681
2016-08-15,177.1,711.2692546,0.248991501958842
2016-11-15,182.4,733.6660547,0.2486144736171341
2017-02-15,185.1,752.4392372,0.24599993042468093
2017-05-15,185.8,714.389182,0.26008232582670887
2017-08-15,200.1,718.9233614,0.2783328665385612
2017-11-15,205.1,713.5357832,0.2874417861430667
2018-02-15,213.1,734.3318949,0.2901957568233089
2018-05-15,223.5,715.7548996,0.3122577297408695
2018-08-15,227.1,696.4967109,0.32606040552086113
2018-11-15,232.4,680.8067817,0.3413597018227235
2019-02-15,232.5,668.723721,0.3476772136216774
2019-05-15,227.2,701.0482839,0.3240860939507108
2019-08-15,221.8,714.9504288,0.3102312986541984
2019-11-15,230.6,702.28350150000006,0.32835742190648626
2020-02-15,227.4,696.7657758,0.3263650539363934
2020-05-15,128.4,905.7492634,0.1417610868575397
2020-08-15,203.3,914.9496298,0.2221980242173983
2020-11-15,260.1,931.3905817,0.27925985629493727
2021-02-15,287.8,800.7241553,0.3594246509176092
2021-05-15,366.7,702.3935552,0.5220719883962853
2021-08-15,329.2,620.8088814,0.5302759188264409
2021-11-15,406.5,638.6901108,0.6364588916068121
2022-02-15,422.8,561.4706822,0.7530223988603478
2022-05-15,473.1,553.2169044,0.8551799416055589
2022-08-15,466.7,499.686564,0.9339854893516809
2022-11-15,451.3,502.3423686,0.8983912729832998
2023-02-15,439.1,518.2826395,0.847221123253541
2023-05-15,422.3,521.4945838,0.8097878925660282
2023-08-15,399.8,538.7903595,0.7420325789997733
2023-11-15,385.1,581.3258214,0.6624512206813183
2024-02-15,359.7,553.6354356,0.6497055225704197
2024-05-15,346.3,595.7538942,0.581280296060883
2024-08-15,332.7,620.4231028,0.5362469555026377
2024-11-15,346.3,592.7508335,0.5842252434386497
2025-02-15,325,614.1193929,0.5292130549163774
2025-05-15,336.7,623.1556402,0.5403144548157136
2025-08-15,327.9,647.6805778,0.5062680760225816
2025-11-15,328.7,659.8030084,0.4981789955718547
2026-02-15,336.6,661.7156579,0.5086777016403439
2026-05-15,329.5,674.1079888,0.488794088594845
