Quarter,Job_Vacancies,unemployed,Tightness,unemployment_rate,underemployment_rate,underutilisation_rate,year,quarter,WPI,WPI_growth,WPI_growth_lead1,WPI_growth_lead2,change_tightness,change_underutilisation
2006-02-15,144.3,537.4191015,0.2685055287339838,5.1035413,6.6460297,11.749571,2006,1,89.2,NA,1.0089686098654571,0.998890122086582,NA,NA
2006-05-15,154.1,507.4982553,0.30364636408238704,4.7983153,6.525646,11.3239613,2006,2,90.1,1.0089686098654571,0.998890122086582,1.098901098901095,0.03514083534840323,-0.425609699999999
2006-08-15,154.9,503.3876982,0.30771510816392056,4.7121815,6.6067526,11.3189341,2006,3,91,0.998890122086582,1.098901098901095,0.8695652173912993,0.004068744081533515,-0.005027200000000676
2006-11-15,162.1,483.7180364,0.3351125817147636,4.5151131,6.2524851,10.7675982,2006,4,92,1.098901098901095,0.8695652173912993,1.0775862068965525,0.027397473550843043,-0.5513358999999998
2007-02-15,160.8,500.9392741,0.3209969916790759,4.6344561,6.4320806,11.0665367,2007,1,92.8,0.8695652173912993,1.0775862068965525,1.1727078891258014,-0.014115590035687686,0.2989385000000002
2007-05-15,168.6,463.3446129,0.36387603374680344,4.2645998,6.2730354,10.5376352,2007,2,93.8,1.0775862068965525,1.1727078891258014,0.7376185458377149,0.042879042067727524,-0.5289014999999999
2007-08-15,173.3,470.9735601,0.3679612077654718,4.2989954,6.2488783,10.5478737,2007,3,94.9,1.1727078891258014,0.7376185458377149,1.0460251046025215,0.004085174018668369,0.010238499999999817
2007-11-15,183.3,489.1921392,0.3746993978680024,4.426834,6.0526951,10.4795291,2007,4,95.6,0.7376185458377149,1.0460251046025215,1.1387163561076719,0.006738190102530572,-0.06834459999999964
2008-02-15,178.2,441.2960487,0.40381054968643776,3.9790282,5.9077888,9.886817,2008,1,96.6,1.0460251046025215,1.1387163561076719,1.22824974411464,0.029111151818435377,-0.5927121
2008-05-15,184.5,475.9719684,0.3876278693894613,4.2665194,5.945157,10.2116764,2008,2,97.7,1.1387163561076719,1.22824974411464,0.8088978766430666,-0.01618268029697645,0.32485939999999935
2008-08-15,NA,451.5259339,NA,4.0153748,5.7217663,9.7371411,2008,3,98.9,1.22824974411464,0.8088978766430666,0.9027081243731194,NA,-0.47453529999999944
2008-11-15,NA,503.6169031,NA,4.4629287,6.3059401,10.7688687,2008,4,99.7,0.8088978766430666,0.9027081243731194,0.7952286282306265,NA,1.0317276
2009-02-15,NA,605.0203221,NA,5.3025728,7.2518476,12.5544204,2009,1,100.6,0.9027081243731194,0.7952286282306265,0.39447731755424265,NA,1.7855516999999992
2009-05-15,NA,664.7659942,NA,5.8122361,7.6518288,13.4640649,2009,2,101.4,0.7952286282306265,0.39447731755424265,0.7858546168958647,NA,0.9096445000000006
2009-08-15,NA,653.9628278,NA,5.714836,7.5606625,13.2754984,2009,3,101.8,0.39447731755424265,0.7858546168958647,0.974658869395717,NA,-0.1885665000000003
2009-11-15,148.9,638.6487451,0.233148504780488,5.5586526,7.6025222,13.1611748,2009,4,102.6,0.7858546168958647,0.974658869395717,0.7722007722007929,NA,-0.11432360000000052
2010-02-15,168.4,610.974522,0.2756252412109584,5.2982033,7.4667038,12.764907,2010,1,103.6,0.974658869395717,0.7722007722007929,1.0536398467432928,0.042476736430470396,-0.3962678000000004
2010-05-15,170.3,603.6395839,0.2821219889188251,5.2297625,6.9919274,12.2216899,2010,2,104.4,0.7722007722007929,1.0536398467432928,1.0426540284360186,0.006496747707866735,-0.5432170999999997
2010-08-15,178.6,586.0892682,0.30473173574482454,5.0321839,7.1910802,12.2232641,2010,3,105.5,1.0536398467432928,1.0426540284360186,0.9380863039399667,0.02260974682599942,0.0015742000000003031
2010-11-15,191.1,601.0517475,0.3179426743119152,5.1092064,6.9152457,12.0244521,2010,4,106.6,1.0426540284360186,0.9380863039399667,0.743494423791824,0.013210938567090658,-0.1988120000000002
2011-02-15,189.4,584.738966,0.32390521414302326,4.9718703,6.8657789,11.8376492,2011,1,107.6,0.9380863039399667,0.743494423791824,0.830258302583009,0.00596253983110806,-0.1868029
2011-05-15,187.3,589.6820094,0.31762881860780745,5.0133181,7.0708003,12.0841184,2011,2,108.4,0.743494423791824,0.830258302583009,1.0064043915828158,-0.006276395535215806,0.24646919999999994
2011-08-15,183.4,624.107726,0.29385952514229896,5.2700482,6.7543122,12.0243604,2011,3,109.3,0.830258302583009,1.0064043915828158,0.9963768115941907,-0.02376929346550849,-0.059757999999998646
2011-11-15,179.3,621.1498679,0.2886581954950457,5.2312284,7.067626,12.2988545,2011,4,110.4,1.0064043915828158,0.9963768115941907,0.8968609865470878,-0.005201329647253283,0.2744940999999983
2012-02-15,181.8,617.2476141,0.29453333775146306,5.1917172,7.2502285,12.4419457,2012,1,111.5,0.9963768115941907,0.8968609865470878,0.7111111111111068,0.005875142256417387,0.14309120000000064
2012-05-15,178.1,623.3963879,0.2856930252675274,5.2004639,7.3543496,12.5548134,2012,2,112.5,0.8968609865470878,0.7111111111111068,0.7943512797881747,-0.008840312483935686,0.11286770000000068
2012-08-15,175.3,617.7187655,0.28378610103921154,5.1570308,6.9140703,12.0711011,2012,3,113.3,0.7111111111111068,0.7943512797881747,0.7005253940455258,-0.0019069242283158427,-0.48371230000000054
2012-11-15,164.8,631.7108629,0.26087884454519483,5.256884,7.0423717,12.2992557,2012,4,114.2,0.7943512797881747,0.7005253940455258,0.6956521739130306,-0.022907256494016703,0.22815459999999987
2013-02-15,149.8,653.9292553,0.2290767675339391,5.3943354,7.0459817,12.4403171,2013,1,115,0.7005253940455258,0.6956521739130306,0.5181347150259086,-0.03180207701125573,0.1410613999999999
2013-05-15,143.5,680.9366386,0.21073913763112348,5.6097768,7.460552,13.0703288,2013,2,115.8,0.6956521739130306,0.5181347150259086,0.6872852233676952,-0.018337629902815622,0.6300117000000007
2013-08-15,140.6,711.199369,0.1976942136460191,5.8436797,7.5859943,13.429674,2013,3,116.4,0.5181347150259086,0.6872852233676952,0.7679180887371961,-0.013044923985104373,0.3593451999999999
2013-11-15,138.9,704.4834072,0.19716575093239472,5.7963953,7.4686334,13.2650287,2013,4,117.2,0.6872852233676952,0.7679180887371961,0.5080440304826572,-5.284627136243891e-4,-0.1646453000000001
2014-02-15,143.2,716.6506752,0.19981841217136412,5.8764362,7.50141,13.3778461,2014,1,118.1,0.7679180887371961,0.5080440304826572,0.5897219882055715,0.0026526612389694004,0.11281739999999907
2014-05-15,147.4,725.7310168,0.20310555369389857,5.9300032,7.7656841,13.6956873,2014,2,118.7,0.5080440304826572,0.5897219882055715,0.5862646566163976,0.0032871415225344536,0.31784120000000016
2014-08-15,146.6,750.3199282,0.19538332182071985,6.1004595,8.3910955,14.491555,2014,3,119.4,0.5897219882055715,0.5862646566163976,0.5828476269775118,-0.00772223187317872,0.7958677000000005
2014-11-15,149.7,775.643173,0.1930011185697627,6.2968366,8.6458368,14.9426735,2014,4,120.1,0.5862646566163976,0.5828476269775118,0.4966887417218624,-0.0023822032509571434,0.45111849999999976
2015-02-15,151.9,765.4346024,0.1984493508964993,6.153363,8.5261943,14.6795573,2015,1,120.8,0.5828476269775118,0.4966887417218624,0.5766062602965416,0.0054482323267365795,-0.2631161999999989
2015-05-15,157.8,739.780418,0.2133065382111804,5.9311165,8.38765,14.3187665,2015,2,121.4,0.4966887417218624,0.5766062602965416,0.49140049140050657,0.014857187314681108,-0.3607908000000002
2015-08-15,161.5,762.5893193,0.21177847094455104,6.0873908,8.4211644,14.5085552,2015,3,122.1,0.5766062602965416,0.49140049140050657,0.4889975550122161,-0.0015280672666293516,0.18978869999999937
2015-11-15,167.4,739.0840099,0.2264965792219611,5.8503965000000004,8.5757925,14.426189,2015,4,122.7,0.49140049140050657,0.4889975550122161,0.48661800486617945,0.014718108277410047,-0.08236619999999917
2016-02-15,172.2,720.1520634,0.2391161655317698,5.6944376,8.3741817,14.0686193,2016,1,123.3,0.4889975550122161,0.48661800486617945,0.40355125100888234,0.012619586309808695,-0.3575697000000009
